DATE,IR3TIB01CHM156N
1974-01-01,11.5417
1974-02-01,9.9938
1974-03-01,10.994
1974-04-01,9.1938
1974-05-01,9.1548
1974-06-01,10.2105
1974-07-01,11.894
1974-08-01,10.7857
1974-09-01,10.5119
1974-10-01,9.5788
1974-11-01,8.4792
1974-12-01,9.6447
1975-01-01,6.8899
1975-02-01,4.7219
1975-03-01,4.5789
1975-04-01,4.733
1975-05-01,4.1908
1975-06-01,3.619
1975-07-01,4.2228
1975-08-01,3.1781
1975-09-01,2.6648
1975-10-01,3.2228
1975-11-01,3.2625
1975-12-01,3.4906
1976-01-01,1.6656
1976-02-01,1.3531
1976-03-01,1.5951
1976-04-01,1.2281
1976-05-01,1.4375
1976-06-01,1.0595
1976-07-01,1.267
1976-08-01,1.2216
1976-09-01,1.4176
1976-10-01,1.8929
1976-11-01,2.2557
1976-12-01,1.9049
1977-01-01,1.2887
1977-02-01,1.675
1977-03-01,2.9647
1977-04-01,2.6513
1977-05-01,4.0375
1977-06-01,3.875
1977-07-01,3.0417
1977-08-01,2.429
1977-09-01,2.4119
1977-10-01,2.2232
1977-11-01,2.3466
1977-12-01,2.128
1978-01-01,0.994
1978-02-01,0.5
1978-03-01,0.5089
1978-04-01,0.5
1978-05-01,1.2313
1978-06-01,1.4006
1978-07-01,1.7798
1978-08-01,0.6449
1978-09-01,0.5685
1978-10-01,0.233
1978-11-01,0.2559
1978-12-01,0.1612
1979-01-01,0.0149
1979-02-01,0.1315
1979-03-01,0.2699
1979-04-01,1.0987
1979-05-01,1.5446
1979-06-01,1.5094
1979-07-01,1.1311
1979-08-01,1.6506
1979-09-01,1.9313
1979-10-01,2.5245
1979-11-01,3.946
1979-12-01,5.6507
1980-01-01,5.4613
1980-02-01,5.0714
1980-03-01,6.5833
1980-04-01,6.8156
1980-05-01,5.8388
1980-06-01,5.5804
1980-07-01,5.2582
1980-08-01,5.5031
1980-09-01,5.5511
1980-10-01,5.3995
1980-11-01,5.575
1980-12-01,6.6071
1981-01-01,5.65
1981-02-01,7.0813
1981-03-01,8.321
1981-04-01,8.6625
1981-05-01,9.8454
1981-06-01,10.0119
1981-07-01,9.7011
1981-08-01,9.0982
1981-09-01,10.5625
1981-10-01,10.7443
1981-11-01,9.7917
1981-12-01,9.6733
1982-01-01,8.6594
1982-02-01,8.2438
1982-03-01,6.3097
1982-04-01,4.8906
1982-05-01,3.8092
1982-06-01,5.2614
1982-07-01,4.2585
1982-08-01,4.1023
1982-09-01,4.0426
1982-10-01,3.631
1982-11-01,3.8011
1982-12-01,3.6848
1983-01-01,2.7219
1983-02-01,2.9375
1983-03-01,3.6223
1983-04-01,4.2368
1983-05-01,4.4688
1983-06-01,4.9233
1983-07-01,4.75
1983-08-01,4.6165
1983-09-01,4.3693
1983-10-01,4.0744
1983-11-01,4.0852
1983-12-01,4.2946
1984-01-01,3.6637
1984-02-01,3.4821
1984-03-01,3.554
1984-04-01,3.6151
1984-05-01,3.8661
1984-06-01,4.1531
1984-07-01,4.7188
1984-08-01,4.8153
1984-09-01,5.0987
1984-10-01,5.2582
1984-11-01,5.017
1984-12-01,4.9485
1985-01-01,5.1131
1985-02-01,5.6625
1985-03-01,5.744
1985-04-01,5.375
1985-05-01,5.0969
1985-06-01,5.15
1985-07-01,5.0489
1985-08-01,4.6193
1985-09-01,4.5536
1985-10-01,4.5082
1985-11-01,4.0417
1985-12-01,4.1688
1986-01-01,4.0923
1986-02-01,3.8813
1986-03-01,3.8882
1986-04-01,4.0852
1986-05-01,4.3882
1986-06-01,5.0238
1986-07-01,4.8451
1986-08-01,4.2781
1986-09-01,4.1399
1986-10-01,3.9266
1986-11-01,3.85
1986-12-01,4.2202
1987-01-01,3.6313
1987-02-01,3.5906
1987-03-01,3.9148
1987-04-01,3.6438
1987-05-01,3.727
1987-06-01,3.9107
1987-07-01,3.7364
1987-08-01,3.6994
1987-09-01,3.6989
1987-10-01,4.2614
1987-11-01,3.8363
1987-12-01,3.6449
1988-01-01,2.2063
1988-02-01,1.6339
1988-03-01,1.7636
1988-04-01,2.0263
1988-05-01,2.4125
1988-06-01,3.0466
1988-07-01,3.8571
1988-08-01,3.6477
1988-09-01,3.4659
1988-10-01,3.7202
1988-11-01,4.2557
1988-12-01,4.9226
1989-01-01,5.875
1989-02-01,6.125
1989-03-01,5.875
1989-04-01,6.625
1989-05-01,8.25
1989-06-01,7.5
1989-07-01,7
1989-08-01,7.5
1989-09-01,7.9375
1989-10-01,8
1989-11-01,7.9375
1989-12-01,9.1875
1990-01-01,9.6875
1990-02-01,9.3125
1990-03-01,9
1990-04-01,9.375
1990-05-01,8.8125
1990-06-01,9
1990-07-01,8.95313
1990-08-01,8.625
1990-09-01,8.25
1990-10-01,8.3125
1990-11-01,8.9375
1990-12-01,8.75
1991-01-01,8.125
1991-02-01,8.25
1991-03-01,8.625
1991-04-01,8.625
1991-05-01,8
1991-06-01,8
1991-07-01,7.9375
1991-08-01,8.0625
1991-09-01,8.25
1991-10-01,8.375
1991-11-01,8.125
1991-12-01,8.1875
1992-01-01,7.5
1992-02-01,7.6875
1992-03-01,8.9375
1992-04-01,8.875
1992-05-01,9.4375
1992-06-01,9.25
1992-07-01,8.625
1992-08-01,7.875
1992-09-01,6.98438
1992-10-01,6.375
1992-11-01,6.70313
1992-12-01,6
1993-01-01,5.4375
1993-02-01,5.5
1993-03-01,5.1875
1993-04-01,5.125
1993-05-01,5.15625
1993-06-01,5.03125
1993-07-01,4.6875
1993-08-01,4.8125
1993-09-01,4.75
1993-10-01,4.5625
1993-11-01,4.5
1993-12-01,4.125
1994-01-01,4.07813
1994-02-01,4.17188
1994-03-01,4.1875
1994-04-01,4
1994-05-01,4.25
1994-06-01,4.32813
1994-07-01,4.375
1994-08-01,4.3125
1994-09-01,4.1875
1994-10-01,4.0625
1994-11-01,4.01563
1994-12-01,4.29688
1995-01-01,4
1995-02-01,3.875
1995-03-01,3.5
1995-04-01,3.5
1995-05-01,3.26563
1995-06-01,3.125
1995-07-01,2.73438
1995-08-01,2.875
1995-09-01,2.48438
1995-10-01,2.07813
1995-11-01,2.125
1995-12-01,1.8125
1996-01-01,1.76563
1996-02-01,1.625
1996-03-01,1.79688
1996-04-01,1.875
1996-05-01,2.625
1996-06-01,2.5625
1996-07-01,2.5625
1996-08-01,2.17188
1996-09-01,1.5
1996-10-01,1.8125
1996-11-01,2.0625
1996-12-01,1.875
1997-01-01,1.73438
1997-02-01,1.75
1997-03-01,1.875
1997-04-01,1.8125
1997-05-01,1.125
1997-06-01,1.4375
1997-07-01,1.5625
1997-08-01,1.375
1997-09-01,1.59375
1997-10-01,1.96094
1997-11-01,1.92969
1997-12-01,1.5
1998-01-01,1.1875
1998-02-01,1
1998-03-01,1.48438
1998-04-01,1.53125
1998-05-01,1.6875
1998-06-01,2.15625
1998-07-01,1.94141
1998-08-01,1.61328
1998-09-01,1.57422
1998-10-01,1.25625
1998-11-01,1.75
1998-12-01,1.40828
1999-01-01,1.27167
1999-02-01,1.26167
1999-03-01,1.24833
1999-04-01,0.99333
1999-05-01,1.02333
1999-06-01,1.22167
1999-07-01,1.12333
1999-08-01,1.09667
1999-09-01,1.915
1999-10-01,2.045
1999-11-01,1.86167
1999-12-01,1.84667
2000-01-01,2.13167
2000-02-01,2.44167
2000-03-01,2.855
2000-04-01,3.24333
2000-05-01,3.16
2000-06-01,3.39667
2000-07-01,3.44
2000-08-01,3.48667
2000-09-01,3.585
2000-10-01,3.49167
2000-11-01,3.47833
2000-12-01,3.37
2001-01-01,3.42
2001-02-01,3.42833
2001-03-01,3.325
2001-04-01,3.175
2001-05-01,3.205
2001-06-01,3.23667
2001-07-01,3.19
2001-08-01,3.15667
2001-09-01,2.28333
2001-10-01,2.09
2001-11-01,2.00333
2001-12-01,1.83833
2002-01-01,1.69667
2002-02-01,1.73833
2002-03-01,1.635
2002-04-01,1.57
2002-05-01,1.23167
2002-06-01,1.24333
2002-07-01,0.82167
2002-08-01,0.75167
2002-09-01,0.74833
2002-10-01,0.74333
2002-11-01,0.745
2002-12-01,0.61667
2003-01-01,0.60333
2003-02-01,0.57167
2003-03-01,0.31333
2003-04-01,0.30833
2003-05-01,0.28167
2003-06-01,0.28833
2003-07-01,0.28667
2003-08-01,0.26667
2003-09-01,0.25417
2003-10-01,0.24917
2003-11-01,0.26667
2003-12-01,0.26
2004-01-01,0.24667
2004-02-01,0.25833
2004-03-01,0.25
2004-04-01,0.27167
2004-05-01,0.26
2004-06-01,0.49833
2004-07-01,0.53
2004-08-01,0.62
2004-09-01,0.7
2004-10-01,0.72667
2004-11-01,0.74
2004-12-01,0.71667
2005-01-01,0.75
2005-02-01,0.75833
2005-03-01,0.775
2005-04-01,0.76
2005-05-01,0.75
2005-06-01,0.74833
2005-07-01,0.755
2005-08-01,0.76
2005-09-01,0.79
2005-10-01,0.85
2005-11-01,1.01
2005-12-01,1.01
2006-01-01,1.02417
2006-02-01,1.17583
2006-03-01,1.24917
2006-04-01,1.34
2006-05-01,1.42333
2006-06-01,1.52
2006-07-01,1.55
2006-08-01,1.68
2006-09-01,1.81083
2006-10-01,1.86
2006-11-01,1.95
2006-12-01,2.1025
2007-01-01,2.19
2007-02-01,2.22
2007-03-01,2.295
2007-04-01,2.35
2007-05-01,2.47
2007-06-01,2.7
2007-07-01,2.7075
2007-08-01,2.89667
2007-09-01,2.785
2007-10-01,2.75333
2007-11-01,2.745
2007-12-01,2.75667
2008-01-01,2.65333
2008-02-01,2.79667
2008-03-01,2.885
2008-04-01,2.80833
2008-05-01,2.7775
2008-06-01,2.79
2008-07-01,2.75583
2008-08-01,2.745
2008-09-01,2.955
2008-10-01,2.71833
2008-11-01,1.255
2008-12-01,0.66167
2009-01-01,0.52667
2009-02-01,0.495
2009-03-01,0.40333
2009-04-01,0.40333
2009-05-01,0.39833
2009-06-01,0.395
2009-07-01,0.36
2009-08-01,0.31667
2009-09-01,0.28833
2009-10-01,0.26183
2009-11-01,0.25
2009-12-01,0.25167
2010-01-01,0.25
2010-02-01,0.25
2010-03-01,0.24667
2010-04-01,0.24583
2010-05-01,0.10833
2010-06-01,0.11167
2010-07-01,0.17167
2010-08-01,0.165
2010-09-01,0.17833
2010-10-01,0.16833
2010-11-01,0.17167
2010-12-01,0.17
2011-01-01,0.17
2011-02-01,0.17
2011-03-01,0.18
2011-04-01,0.185
2011-05-01,0.17583
2011-06-01,0.175
2011-07-01,0.175
2011-08-01,0.005
2011-09-01,0.02333
2011-10-01,0.04333
2011-11-01,0.05167
2011-12-01,0.05167
2012-01-01,0.07
2012-02-01,0.08667
2012-03-01,0.11
2012-04-01,0.11167
2012-05-01,0.0975
2012-06-01,0.087
2012-07-01,0.06
2012-08-01,0.046
2012-09-01,0.044
2012-10-01,0.032
2012-11-01,0.03
2012-12-01,0.012
2013-01-01,0.022
2013-02-01,0.022
2013-03-01,0.022
2013-04-01,0.02
2013-05-01,0.016
2013-06-01,0.019
2013-07-01,0.018
2013-08-01,0.018
2013-09-01,0.022
2013-10-01,0.019
2013-11-01,0.015
2013-12-01,0.023
2014-01-01,0.018
2014-02-01,0.022
2014-03-01,0.022
2014-04-01,0.017
2014-05-01,0.012
2014-06-01,0.008
2014-07-01,0.018
2014-08-01,0.018
2014-09-01,0.006
2014-10-01,0.015
2014-11-01,0.001
2014-12-01,-0.063
2015-01-01,-0.854
2015-02-01,-0.85
2015-03-01,-0.814
2015-04-01,-0.794
2015-05-01,-0.788
2015-06-01,-0.789
2015-07-01,-0.739
2015-08-01,-0.724
2015-09-01,-0.733
2015-10-01,-0.732
2015-11-01,-0.832
2015-12-01,-0.756
2016-01-01,-0.757
2016-02-01,-0.8046
2016-03-01,-0.7292
2016-04-01,-0.7294
2016-05-01,-0.7352
2016-06-01,-0.7798
2016-07-01,-0.7476
2016-08-01,-0.7364
2016-09-01,-0.75
2016-10-01,-0.73
2016-11-01,-0.749
2016-12-01,-0.7292
2017-01-01,-0.7286
2017-02-01,-0.7262
2017-03-01,-0.7296
2017-04-01,-0.73
2017-05-01,-0.7296
2017-06-01,-0.73
2017-07-01,-0.7256
2017-08-01,-0.7262
2017-09-01,-0.726
2017-10-01,-0.7268
2017-11-01,-0.752
2017-12-01,-0.7462
2018-01-01,-0.745
2018-02-01,-0.7446
2018-03-01,-0.7354
2018-04-01,-0.7282
2018-05-01,-0.7348
2018-06-01,-0.7316
2018-07-01,-0.7278
2018-08-01,-0.7284
2018-09-01,-0.7358
2018-10-01,-0.7454
2018-11-01,-0.7382
2018-12-01,-0.7134
2019-01-01,-0.713
2019-02-01,-0.7156
2019-03-01,-0.7122
2019-04-01,-0.7138
2019-05-01,-0.713
2019-06-01,-0.7256
2019-07-01,-0.768
2019-08-01,-0.8554
2019-09-01,-0.7632
2019-10-01,-0.7594
2019-11-01,-0.7228
2019-12-01,-0.6884
2020-01-01,-0.69
2020-02-01,-0.7352
2020-03-01,-0.6554
2020-04-01,-0.5832
2020-05-01,-0.651
2020-06-01,-0.676
2020-07-01,-0.7048
2020-08-01,-0.7204
2020-09-01,-0.7806
2020-10-01,-0.7666
2020-11-01,-0.784
2020-12-01,-0.7638
2021-01-01,-0.7614
2021-02-01,-0.7456
2021-03-01,-0.754
2021-04-01,-0.7458
2021-05-01,-0.7436
2021-06-01,-0.7536
2021-07-01,-0.7594
2021-08-01,-0.7704
2021-09-01,-0.7624
2021-10-01,-0.7708
2021-11-01,-0.7836
2021-12-01,-0.753
