DATE,SOFR,SOFR30DAYAVG,SOFR90DAYAVG,SOFR180DAYAVG,SOFRINDEX
2018-04-02,,,,,1.0
2018-04-03,1.83,,,,1.00005
2018-04-04,1.74,,,,1.00010084
2018-04-05,1.75,,,,1.00014917
2018-04-06,1.75,,,,1.00019779
2018-04-09,1.75,,,,1.00034365
2018-04-10,1.75,,,,1.00039228
2018-04-11,1.76,,,,1.00044091
2018-04-12,1.73,,,,1.00048982
2018-04-13,1.72,,,,1.0005379
2018-04-16,1.77,,,,1.00068131
2018-04-17,1.76,,,,1.00073051
2018-04-18,1.75,,,,1.00077944
2018-04-19,1.73,,,,1.00082809
2018-04-20,1.72,,,,1.00087618
2018-04-23,1.7,,,,1.00101964
2018-04-24,1.71,,,,1.00106691
2018-04-25,1.71,,,,1.00111446
2018-04-26,1.72,,,,1.00116201
2018-04-27,1.72,,,,1.00120985
2018-04-30,1.77,,,,1.00135335
2018-05-01,1.76,,,,1.00140259
2018-05-02,1.75,1.74185,,,1.00145155
2018-05-03,1.74,1.74019,,,1.00150023
2018-05-04,1.72,1.73718,,,1.00154863
2018-05-07,1.71,1.73451,,,1.00169219
2018-05-08,1.72,1.73318,,,1.00173977
2018-05-09,1.72,1.73217,,,1.00178763
2018-05-10,1.73,1.73117,,,1.00183549
2018-05-11,1.73,1.73051,,,1.00188364
2018-05-14,1.75,1.72984,,,1.00202807
2018-05-15,1.79,1.73084,,,1.00207678
2018-05-16,1.75,1.73318,,,1.00212661
2018-05-17,1.74,1.73251,,,1.00217532
2018-05-18,1.73,1.73184,,,1.00222376
2018-05-21,1.69,1.7315,,,1.00236825
2018-05-22,1.65,1.73051,,,1.00241531
2018-05-23,1.67,1.72817,,,1.00246125
2018-05-24,1.74,1.72717,,,1.00250775
2018-05-25,1.73,1.72817,,,1.00255621
2018-05-29,1.72,1.72983,,,1.00274892
2018-05-30,1.72,1.72983,,,1.00279683
2018-05-31,1.81,1.72816,,,1.00284474
2018-06-01,1.81,1.72983,,,1.00289516
2018-06-04,1.8,1.73717,,,1.00304643
2018-06-05,1.75,1.73984,,,1.00309658
2018-06-06,1.73,1.74084,,,1.00314535
2018-06-07,1.71,1.74151,,,1.00319355
2018-06-08,1.69,1.74118,,,1.0032412
2018-06-11,1.69,1.7375,,,1.00338249
2018-06-12,1.67,1.73617,,,1.0034296
2018-06-13,1.71,1.73417,,,1.00347615
2018-06-14,1.9,1.73283,,,1.00352381
2018-06-15,1.91,1.7365,,,1.00357677
2018-06-18,1.9,1.75352,,,1.00373651
2018-06-19,1.88,1.7592,,,1.00378949
2018-06-20,1.87,1.76421,,,1.00384191
2018-06-21,1.87,1.77022,,,1.00389405
2018-06-22,1.92,1.77756,,,1.0039462
2018-06-25,1.91,1.79826,,,1.00410683
2018-06-26,1.9,1.80427,,,1.0041601
2018-06-27,1.9,1.80995,,,1.0042131
2018-06-28,1.93,1.81562,,,1.0042661
2018-06-29,2.12,1.82263,,,1.00431994
2018-07-02,2.04,1.85668,1.77886,,1.00449737
2018-07-03,2.0,1.86436,1.7812,,1.00455429
2018-07-05,1.97,1.87737,1.78689,,1.00466591
2018-07-06,1.93,1.88472,1.78935,,1.00472088
2018-07-09,1.89,1.90675,1.79537,,1.00488248
2018-07-10,1.89,1.91343,1.79694,,1.00493523
2018-07-11,1.89,1.9201,1.79839,,1.00498799
